date,setup,regime,risk_mult,per_spread_pnl,risk,period,qty,sized_pnl,equity
2023-01-11,Not recorded,R4,1.0,18.000000000000004,262.0,Frozen historical,5.0,90.00000000000001,10090.0
2023-01-18,Not recorded,R1,1.0,18.000000000000004,273.0,Frozen historical,5.0,90.00000000000001,10180.0
2023-01-19,Not recorded,R5,0.5,15.0,273.0,Frozen historical,2.0,30.0,10210.0
2023-01-25,Not recorded,R5,0.5,19.0,261.0,Frozen historical,2.0,38.0,10248.0
2023-01-26,Not recorded,R4,1.0,30.0,240.0,Frozen historical,6.0,180.0,10428.0
2023-02-03,Not recorded,R5,1.0,30.0,250.99999999999997,Frozen historical,5.0,150.0,10578.0
2023-02-07,Not recorded,R1,1.0,35.0,224.00000000000003,Frozen historical,6.0,210.0,10788.0
2023-02-09,Not recorded,R4,1.0,37.0,260.0,Frozen historical,5.0,185.0,10973.0
2023-02-15,Not recorded,R1,1.0,26.000000000000007,244.0,Frozen historical,6.0,156.00000000000006,11129.0
2023-02-17,Not recorded,R5,0.5,5.0,273.0,Frozen historical,2.0,10.0,11139.0
2023-02-21,Not recorded,R5,1.0,-19.0,282.0,Frozen historical,5.0,-95.0,11044.0
2023-02-23,Not recorded,R4,1.0,-44.0,262.0,Frozen historical,5.0,-220.0,10824.0
2023-02-24,Not recorded,R5,0.5,16.0,257.0,Frozen historical,2.0,32.0,10856.0
2023-02-27,Not recorded,R4,1.0,-48.99999999999999,256.0,Frozen historical,5.0,-244.99999999999997,10611.0
2023-03-03,Not recorded,R4,1.0,21.999999999999996,252.0,Frozen historical,5.0,110.0,10721.0
2023-03-06,Not recorded,R4,1.0,16.000000000000004,266.0,Frozen historical,5.0,80.00000000000001,10801.0
2023-03-07,Not recorded,R1,1.0,29.999999999999993,253.00000000000003,Frozen historical,5.0,149.99999999999997,10951.0
2023-03-08,Not recorded,R1,1.0,18.0,262.0,Frozen historical,5.0,90.0,11041.0
2023-03-09,Not recorded,R4,1.0,-33.0,268.0,Frozen historical,5.0,-165.0,10876.0
2023-03-10,Not recorded,R5,0.5,8.0,237.0,Frozen historical,3.0,24.0,10900.0
2023-03-17,Not recorded,R1,1.0,38.0,238.0,Frozen historical,6.0,228.0,11128.0
